Time(s), Resistance (Ohms)
0,220273
2,24673
4,29255
6,31867
8,33944
10,35157
12,36074
14,36794
16,37227
18,37799
20,38125
22,38456
24,38658
26,38930
28,39102
30,39415
32,39380
34,39627
36,39627
38,39841
40,39985
42,40057
44,40203
46,40239
48,40423
50,40571
52,40497
54,40720
56,40758
58,40871
60,40720
62,41137
64,41060
66,41098
68,41098
70,41329
72,41329
74,41290
76,41290
78,41252
80,41290
82,41562
84,41523
86,41445
88,41640
90,41601
92,41601
94,41916
96,41836
98,41562
100,41876
102,41876
104,41916
106,41836
108,41995
110,41836
112,42035
114,41836
116,41876
118,41955
120,41995
122,42075
124,42155
126,42195
128,42075
130,42316
132,42155
134,42236
136,42276
138,42276
140,42195
142,42479
144,42236
146,42520
148,42357
150,42438
152,42357
154,42398
156,42438
158,42520
160,42438
162,42438
164,42684
166,42725
168,42766
170,42643
172,42684
174,42684
176,42849
178,42849
180,42684
182,42766
184,42684
186,42684
188,42725
190,42849
192,42891
194,42766
196,42932
198,42849
200,43016
202,43099
204,43016
206,43226
208,42932
210,43141
212,42932
214,43016
216,43057
218,43099
220,42891
222,43141
224,42932
226,43183
228,42974
230,43099
232,42974
234,43268
236,43141
238,43226
240,43057
242,43353
244,43268
246,43480
248,43268
250,43268
252,43438
254,43523
256,43566
258,43480
260,43438
262,43438
264,43523
266,43523
268,43438
270,43609
272,43609
274,43523
276,43609
278,43652
280,43523
282,43523
284,43695
286,43609
288,43523
290,43609
292,43868
294,43781
296,43868
298,43652
300,43955
302,43609
304,43912
306,43999
308,43868
310,43955
312,43999
314,44043
316,43868
318,43912
320,43868
322,43868
324,44087
326,44043
328,44087
330,43999
332,44087
334,44307
336,43912
338,44131
340,44175
342,44131
344,44307
346,44175
348,44219
350,44219
352,44219
354,44043
356,44175
358,44175
360,44131
362,44396
364,44219
366,44263
368,44441
370,44530
372,44485
374,44620
376,44441
378,44352
380,44575
382,44485
384,44485
386,44485
388,44530
390,44665
392,44530
394,44485
396,44485
398,44575
400,44755
402,44575
404,44620
406,44620
408,44665
410,44755
412,44846
414,44801
416,44755
418,44755
420,44755
422,44937
424,44983
426,44891
428,44846
430,44755
432,44755
434,44937
436,44937
438,45028
440,44937
442,44891
444,44937
446,44937
448,44937
450,45074
452,45074
454,44937
456,45028
458,45120
460,45120
462,45028
464,45166
466,45305
468,45074
470,45166
472,45305
474,45305
476,45445
478,45305
480,45398
482,45305
484,45491
486,45259
488,45491
490,45491
492,45398
494,45445
496,45351
498,45585
500,45679
502,45351
504,45774
506,45445
508,45585
510,45445
512,45538
514,45726
516,45679
518,45679
520,45774
522,45585
524,45679
526,45398
528,45774
530,45774
532,47632
534,45726
536,45821
538,47606
540,47735
542,45726
544,45585
546,47683
548,47658
550,45726
552,45585
554,47606
556,47735
558,45726
560,47632
562,45774
564,47632
566,47683
568,47786
570,47709
572,47606
574,47658
576,47864
578,47864
580,47658
582,47838
584,47838
586,47942
588,47761
590,47916
592,47786
594,47812
596,47942
598,47890
600,47916
602,47942
604,47994
606,48098
608,47761
610,47812
612,47968
614,47994
616,47968
618,48230
620,48177
622,48125
624,48125
626,48203
628,48177
630,48072
632,48177
634,48282
636,48388
638,48203
640,48335
642,48414
644,48388
646,48282
648,48361
650,48388
652,48441
654,48494
656,48547
658,48467
660,48361
662,48388
664,48761
666,48547
668,48414
670,48441
672,48335
674,48441
676,48547
678,48654
680,48654
682,48441
684,48654
686,48788
688,48627
690,48654
692,48547
694,48654
696,48815
698,48627
700,48627
702,48869
704,48601
706,48708
708,48788
710,48761
712,48842
714,48923
716,48950
718,49005
720,48869
722,48815
724,48950
726,48950
728,48977
730,48815
732,48923
734,49113
736,48977
738,49059
740,49059
742,48896
744,49086
746,48923
748,49005
750,49086
752,48977
754,49086
756,48896
758,49086
760,49305
762,49223
764,49250
766,49059
768,49141
770,48977
772,49250
774,49305
776,49250
778,49278
780,49141
782,49250
784,49305
786,49333
788,49195
790,49333
792,49278
794,49223
796,49360
798,49250
800,49305
802,49250
804,49333
806,49415
808,49415
810,49554
812,49637
814,49443
816,49665
818,49637
820,49581
822,49554
824,49498
826,49415
828,49581
830,49498
832,49637
834,49637
836,49443
838,49749
840,49637
842,49637
844,49526
846,49749
848,49749
850,49581
852,49637
854,49581
856,49665
858,49581
860,49471
862,49665
864,49833
866,49637
868,49861
870,49861
872,49749
874,49917
876,49749
878,49777
880,49833
882,49945
884,49974
886,49917
888,49693
890,49889
892,50087
894,49861
896,50258
898,49889
900,49917
902,49889
904,50030
906,50002
908,50059
910,49974
912,50030
914,49945
916,49974
918,50087
920,50030
922,50087
924,49974
926,49917
928,49974
930,50315
932,50002
934,50258
936,50144
938,50201
940,50286
942,50144
944,50115
946,50172
948,50201
950,50286
952,50172
954,50315
956,50115
958,50115
960,50172
962,50401
964,50574
966,50229
968,50372
970,50430
972,50430
974,50315
976,50201
978,50258
980,50401
982,50430
984,50430
986,50372
988,50286
990,50344
992,50344
994,50401
996,50430
998,50401
1000,50315
1002,50516
1004,50516
1006,50315
1008,50516
1010,50487
1012,50574
1014,50401
1016,50430
1018,50632
1020,50430
1022,50661
1024,50661
1026,50603
1028,50487
1030,50603
1032,50719
1034,50603
1036,50865
1038,50545
1040,50835
1042,50574
1044,50777
1046,50865
1048,50865
1050,50777
1052,50748
1054,50777
1056,50719
1058,50661
1060,50748
1062,50748
1064,50719
1066,50777
1068,50953
1070,50894
1072,50953
1074,50865
1076,51129
1078,50923
1080,51011
1082,51011
1084,50835
1086,51218
1088,51041
1090,51070
1092,51041
1094,51189
1096,51070
1098,51248
1100,51189
1102,51218
1104,51189
1106,51189
1108,51397
1110,51278
1112,51307
1114,51011
1116,50690
1118,44710
1120,48046
